Tokens		Lexemes
Keyword 	begin
Keyword 	int
Identifier 	sum
Separator 	,
Identifier 	num1
Separator 	,
Identifier 	num2
Separator 	;
Separator 	;
Keyword 	float
Identifier 	product
Separator 	,
Identifier 	num3
Separator 	,
Identifier 	num4
Separator 	;
Separator 	;
Keyword 	bool
Identifier 	truth
Separator 	,
Identifier 	lie
Separator 	;
Separator 	;
Identifier 	sum
Operator 	=
Identifier 	num1
Operator 	+
Identifier 	num2
Separator 	;
Separator 	;
Identifier 	product
Operator 	=
Separator 	(
Identifier 	num3
Operator 	/
Identifier 	num4
Separator 	)
Operator 	*
Separator 	(
Identifier 	num1
Operator 	+
Identifier 	num2
Separator 	)
Separator 	;
Separator 	;
Keyword 	if
Identifier 	sum
Operator 	>
Operator 	=
Identifier 	product
Keyword 	then
Identifier 	sum
Operator 	=
Identifier 	product
Separator 	;
Keyword 	else
Identifier 	product
Operator 	=
Identifier 	sum
Separator 	;
Keyword 	endif
Separator 	;
Keyword 	while
Identifier 	sum
Operator 	>
Identifier 	product
Keyword 	do
Identifier 	sum
Operator 	=
Identifier 	sum
Operator 	-
Integer 	1
Separator 	;
Keyword 	whileend
Keyword 	end
